Question,Predicted Answer,Actual Answer
Is the man in the beanie cap to the left of the man in the hooded sweatshirt?,No,No
Is there a vehicle to the left of the bear mural?,No,No
What color is the stripe next to the wall with the bear mural?,Red,Red
What color is the mural behind the man on the left?,Blue,Yellow
Is the color of the strip next to the bear mural is red?,Yes,Yes
Are the pants of the man on the right black?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many cat in image?,1,0
Are there any tie in image?,No,No
How many sandwich in image?,0,0
Where are the sunglasses in relation to the face?,Above,Above
Is the bear hood below the sunglasses?,No,No
Is the brown jacket below the bear hood?,No,No
Is the bag strap under the eagle necklace?,Yes,Yes
What color is the bag strap?,Brown,Green
What is the color of the jacket?,Black,Black
What color is the tent roof?,Red,Blue
Is the hood brown?,Yes,Yes
Is the jacket black?,Yes,Yes
Is the bag strap green?,Yes,Yes
How many airplane in image?,1,0
Are there any fire hydrant in image?,No,No
Are there any bench in image?,No,No
How many broccoli in image?,0,0
Are there any tv in image?,No,No
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
What is the name of the object in the image?,person,teddy bear
Where is the teddy bear relative to the window?,Front,Left
What color is the teddy bear's nose?,Brown,Brown
What color are the teddy bear's ears?,Brown,Yellow
Is the teddy bear's nose a shade of brown?,Yes,Yes
Are the eyes of the teddy bear black?,Yes,Yes
Is the teddy bear's face white?,Yes,Yes
How many book in image?,1,0
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
What is the name of the object in the image?,person,teddy bear
Where is the pumpkin wreath relative to the character?,Left,Behind
Are the hands of the bear below the fence?,No,No
Is the left hand of the bear further to the left than the pumpkin?,No,No
What is the color of the bear's fur?,Brown,Blue
What color is the pumpkin in the wreath?,Orange,Orange
Is the bear's fur blue?,Yes,Yes
Is the bear's belly gray?,Yes,Yes
Is the pumpkin orange?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any car in image?,Yes,No
How many donut in image?,0,1
Are there any donut in image?,No,Yes
How many clock in image?,1,1
Are there any clock in image?,Yes,Yes
Where is the donut relative to the hand?,Above,Above
Where is the watch relative to the hand?,Above,Below
Is the purple frosting below the hole of the donut?,No,No
What color are the bear's ears on the donut?,Brown,Yellow
What color are the nails on the hand?,Red,Red
Is the frosting on the donut teal?,Yes,Yes
Are the bear's ears on the donut yellow?,Yes,Yes
Are the nails on the hand red?,Yes,Yes
Are there any bear in image?,No,No
How many kite in image?,0,0
Are there any banana in image?,No,No
How many apple in image?,0,1
Are there any apple in image?,No,Yes
What is the name of the object in the image?,person,apple
How many laptop in image?,0,0
Where is the cherry located relative to the branch?,Above,Below
Is the fruit hanging above the branch?,No,No
What color is the fruit?,Yellow,Red
What color are the leaves?,Green,Green
What color is the branch?,Brown,Brown
Is the fruit red?,Yes,Yes
Are the leaves green?,Yes,Yes
Is the branch brown?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any cow in image?,No,No
How many couch in image?,0,0
Where is the man looking?,Right,Right
What position is the shadow?,Left,Right
What color is the jersey?,Blue,Blue
What color is the border on jersey?,Red,Yellow
What color are the shorts?,Black,Black
Is the jersey blue?,Yes,Yes
Are the shorts black?,Yes,Yes
Is there a purple color on the jersey?,No,No
How many bear in image?,0,1
Are there any bear in image?,No,Yes
What is the name of the object in the image?,person,bear
Where is the head of the bear located?,Left,Above
Is the bear in the water?,Yes,Yes
What color is the water?,Blue,Blue
What color is the polar bear's fur?,White,White
What color are the polar bear's lips?,Red,Black
What color is the water?,Blue,No
What color is the polar bear's fur?,White,Yes
Is the polar bear's nose black?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many bear in image?,0,0
Are there any skateboard in image?,No,No
What is the position of the statue relative to the window?,Front,Right
Is the statue standing in behind of a window?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many motorcycle in image?,1,1
Are there any motorcycle in image?,Yes,Yes
Are there any chair in image?,Yes,No
How many microwave in image?,0,0
Are there any sink in image?,No,No
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
What is the position of the teddy bear relative to the girl?,Front,Front
Where is the tricycle relative to the girl?,Behind,Behind
Is the teddy bear held by the girl?,Yes,Yes
What color is the teddy bear?,Brown,Red
What color is the girl's dress?,White,Red
What color are the shoes?,Black,Blue
Is the teddy bear red?,Yes,Yes
Is the dress red?,Yes,Yes
Are the shoes blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any car in image?,Yes,No
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
Where is the teddy bear?,Front,Left
Where are the balloons?,Above,Right
Is the teddy bear next to the sign?,Yes,Yes
Is the child holding the balloons?,Yes,Yes
What color are the flowers?,White,Red
What color are the balloons?,Pink,Blue
What color is the grass?,Green,Green
Is the color of the balloons blue?,Yes,Yes
Is the color of the grass green?,Yes,Yes
Are the flowers red?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
Are there any banana in image?,No,No
How many cell phone in image?,1,0
Are there any microwave in image?,No,No
Are there any oven in image?,No,No
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
Are there any toothbrush in image?,No,No
What is the position of the person relative to the pink bear?,Right,Behind
What is the position of the pink bear relative to the wall?,Front,Front
Is the person closer to the viewer than the purple figure?,No,No
What is the color of the bear?,Brown,Pink
What is the color of the background of the bear?,Black,White
What is the color of the X on the bear's eye?,Red,Black
Is the teddy bear pink?,Yes,Yes
Is the background of the sign in the background white?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
How many bus in image?,1,0
Are there any knife in image?,Yes,No
Are there any apple in image?,No,No
Are there any potted plant in image?,Yes,No
Where is the bouquet relative to the woman?,Front,Front
Are the grey flowers behind the woman?,No,No
What is the color of the leaves?,Green,Green
What is the color of the flowers?,Yellow,White
Is the predominant color of the leaves green?,Yes,Yes
Do the flowers have a red color?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
What is the name of the object in the image?,person,person
Are there any kite in image?,No,No
Where are the lights?,Above,Above
Is the child in behind of the bear?,No,No
Is the child wearing skates?,Yes,Yes
What color is the bear's vest?,Black,Orange
What color is the scarf around the bear's neck?,Red,Pink
What color are the pants the child is wearing?,Black,Black
Does the bear have an purple vest?,No,No
Is the bear wearing a white scarf?,No,No
How many person in image?,1,2
Are there any person in image?,Yes,Yes
Are there any bicycle in image?,Yes,No
Are there any car in image?,Yes,No
Are there any zebra in image?,No,No
How many dining table in image?,1,0
Where is the little girl relative to the man?,Front,Left
Where is the mountain relative to the people?,Behind,Below
Where is the hand relative to the man?,Above,Right
What color is the sky?,Blue,Blue
What color are the mountains?,Brown,Green
What color is the hat?,Black,Brown
Is the sky blue?,Yes,Yes
Is the hat brown?,Yes,Yes
Is the girl's shirt blue?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many chair in image?,1,1
Are there any chair in image?,Yes,Yes
How many person in image?,1,0
How many bird in image?,1,2
Are there any bird in image?,Yes,Yes
Are there any cat in image?,Yes,No
How many bear in image?,0,1
Are there any bear in image?,No,Yes
How many refrigerator in image?,0,0
Are the birds located in behind of the water?,No,No
Is the polar bear on the grass?,Yes,Yes
What color is the polar bear's fur?,White,White
What color is the water?,Blue,Green
What color is the grass?,Green,Green
Is the polar bear's fur white?,Yes,Yes
Is the water green?,Yes,Yes
Is there any yellow color object in the image?,No,No
Are there any bear in image?,No,No
How many carrot in image?,0,0
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
What is the name of the object in the image?,person,teddy bear
How many person in image?,1,2
Are there any person in image?,Yes,Yes
How many couch in image?,0,1
Are there any couch in image?,No,Yes
How many teddy bear in image?,1,1
Are there any teddy bear in image?,Yes,Yes
How many horse in image?,1,0
Are there any elephant in image?,No,No
How many bear in image?,0,1
Are there any bear in image?,No,Yes
What is the name of the object in the image?,person,bear
How many bottle in image?,1,0
Are there any bottle in image?,Yes,No
How many bicycle in image?,1,1
Are there any bicycle in image?,Yes,Yes
What is the name of the object in the image?,person,bicycle
How many giraffe in image?,0,0
How many chair in image?,1,0
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bicycle in image?,1,1
Are there any bicycle in image?,Yes,Yes
Are there any frisbee in image?,No,No
Are there any spoon in image?,Yes,No
How many couch in image?,0,0
How many vase in image?,1,0
How many toothbrush in image?,0,0
Where is the bicycle relative to the window?,Front,Left
Where is the woman relative to the bicycle?,Front,Right
Where is the window relative to the woman?,Behind,Behind
What color is the saree?,Black,Yellow
What color is the trim on the left side?,Blue,Red
What color are the tires on the bicycle?,Black,Black
Are the tires on the bicycle black?,Yes,Yes
Is the saree yellow?,Yes,Yes
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many bicycle in image?,1,1
Are there any bicycle in image?,Yes,Yes
Are there any bird in image?,Yes,No
Are there any banana in image?,No,No
How many person in image?,1,1
Are there any person in image?,Yes,Yes
How many car in image?,1,1
Are there any car in image?,Yes,Yes
Are there any skateboard in image?,No,No
How many knife in image?,1,0
How many person in image?,1,4
Are there any person in image?,Yes,Yes
How many bicycle in image?,1,1
Are there any bicycle in image?,Yes,Yes
Are there any bear in image?,No,No
How many skateboard in image?,0,2
Are there any skateboard in image?,No,Yes
Are there any banana in image?,No,No
How many broccoli in image?,0,0
